author_genres,author_name,book_title,genre_1,genre_2,comb
historical fiction,victoria thompson,murder on st. mark's place,mystery,historical,historical fiction victoria thompson murder on st. mark's place mystery historical
literature fiction mystery thrillers,stieg larsson,the girl with the dragon tattoo,fiction,mystery,literature fiction mystery thrillers stieg larsson the girl with the dragon tattoo fiction mystery
romance,mimi jean pamfiloff,tailored for trouble,romance,contemporary,romance mimi jean pamfiloff tailored for trouble romance contemporary
fiction memoir,josé donoso,the obscene bird of night,fiction,magical realism,fiction memoir josé donoso the obscene bird of night fiction magical realism
young adult fantasy,patricia c. wrede,sorcery & cecelia  or the enchanted chocolate pot,fantasy,young adult,young adult fantasy patricia c. wrede sorcery & cecelia  or the enchanted chocolate pot fantasy young adult
horror,steve niles,30 days of night  vol. 1,sequential art,sequential art,horror steve niles 30 days of night  vol. 1 sequential art sequential art
romance,jillian dodd,stalk me,young adult,romance,romance jillian dodd stalk me young adult romance
nonfiction,mary roach,bonk  the curious coupling of science and sex,nonfiction,science,nonfiction mary roach bonk  the curious coupling of science and sex nonfiction science
fantasy,nancy baker,kiss of the vampire,paranormal,horror,fantasy nancy baker kiss of the vampire paranormal horror
young adult,simone elkeles,leaving paradise,young adult,romance,young adult simone elkeles leaving paradise young adult romance
science fiction fantasy,brandon sanderson,firefight,fantasy,young adult,science fiction fantasy brandon sanderson firefight fantasy young adult
children s,k.l. armstrong,loki's wolves,fantasy,fantasy,children s k.l. armstrong loki's wolves fantasy fantasy
romance literature fiction,lisa kleypas,devil in winter,romance,romance,romance literature fiction lisa kleypas devil in winter romance romance
fiction science fiction fantasy,suzanne collins,mockingjay,young adult,science fiction,fiction science fiction fantasy suzanne collins mockingjay young adult science fiction
literature fiction poetry,aldous huxley,island,fiction,classics,literature fiction poetry aldous huxley island fiction classics
gay male romances,sandrine gasq-dion,dirty ross,romance,fantasy,gay male romances sandrine gasq-dion dirty ross romance fantasy
gay lesbian,jamie fessenden,screwups,romance,academic,gay lesbian jamie fessenden screwups romance academic
gay and lesbian,zarah detand,pull me under,romance,sports and games,gay and lesbian zarah detand pull me under romance sports and games
romance,kendall mckenna,strength of the mate,romance,war,romance kendall mckenna strength of the mate romance war
gay lesbian,rhys ford,tequila mockingbird,romance,contemporary,gay lesbian rhys ford tequila mockingbird romance contemporary
gay lesbian,megan derr,of last resort,fantasy,romance,gay lesbian megan derr of last resort fantasy romance
gay and lesbian,sam b. morgan,slow burn,romance,contemporary,gay and lesbian sam b. morgan slow burn romance contemporary
science fiction fantasy gay lesbian,adrienne wilder,complementary colors,romance,sociology,science fiction fantasy gay lesbian adrienne wilder complementary colors romance sociology
romance gay lesbian,kate sherwood,mark of cain,romance,contemporary,romance gay lesbian kate sherwood mark of cain romance contemporary
gay lesbian,piper vaughn,wood  screws  & nails,romance,contemporary,gay lesbian piper vaughn wood  screws  & nails romance contemporary
gay and lesbian humor and comedy,nick pageant,beauty and the bookworm,romance,romance,gay and lesbian humor and comedy nick pageant beauty and the bookworm romance romance
gay lesbian,k.a. mitchell,bad influence,romance,contemporary,gay lesbian k.a. mitchell bad influence romance contemporary
romance,sarina bowen,the understatement of the year,romance,new adult,romance sarina bowen the understatement of the year romance new adult
gay lesbian,cat grant,the only one who knows,romance,war,gay lesbian cat grant the only one who knows romance war
gay lesbian romance,l.a. witt,payoff,romance,romance,gay lesbian romance l.a. witt payoff romance romance
gay and lesbian,amy rae durreson,reawakening,fantasy,romance,gay and lesbian amy rae durreson reawakening fantasy romance
gay and lesbian romance,k.c. wells,personal secrets,romance,contemporary,gay and lesbian romance k.c. wells personal secrets romance contemporary
gay and lesbian,indra vaughn,the house on hancock hill,romance,contemporary,gay and lesbian indra vaughn the house on hancock hill romance contemporary
gay and lesbian,rob colton,timber pack chronicles,romance,fantasy,gay and lesbian rob colton timber pack chronicles romance fantasy
romance,k.j. charles,remnant  a caldwell & feximal whyborne & griffin mystery,romance,historical,romance k.j. charles remnant  a caldwell & feximal whyborne & griffin mystery romance historical
gay lesbian,leta blake,the river leith,romance,contemporary,gay lesbian leta blake the river leith romance contemporary
gay and lesbian,perie wolford,turning 16,romance,young adult,gay and lesbian perie wolford turning 16 romance young adult
gay lesbian,heidi cullinan,tough love,romance,erotica,gay lesbian heidi cullinan tough love romance erotica
gay and lesbian romance,veronica sloane,stories beneath our skin,romance,contemporary,gay and lesbian romance veronica sloane stories beneath our skin romance contemporary
science fiction fantasy,amy lane,beneath the stain,romance,romance,science fiction fantasy amy lane beneath the stain romance romance
mystery thrillers,josh lanyon,fair play,romance,mystery,mystery thrillers josh lanyon fair play romance mystery
gay lesbian,ais,1 27  an icos anthology,romance,science fiction,gay lesbian ais 1 27  an icos anthology romance science fiction
romance,tara lain,wolf in gucci loafers,romance,fantasy,romance tara lain wolf in gucci loafers romance fantasy
gay lesbian,jordan l. hawk,bloodline,romance,historical,gay lesbian jordan l. hawk bloodline romance historical
romance,nicola haken,being sawyer knight,romance,romance,romance nicola haken being sawyer knight romance romance
gay and lesbian,alexa land,salvation,romance,contemporary,gay and lesbian alexa land salvation romance contemporary
